'Page number,'Layout,'Text,'Reading Order,'Confidence score % (Layout)
'1,'Header 1,"'9/28/24, 1:35 PM",'0,'94.23828125
'1,'Header 2,"'p3-euchre",'1,'78.07617188
'1,'Header 3,"'p3-euchre",'2,'55.66406250
'1,'Title 1,"'EECS 280 Project 3: Euchre",'3,'62.06054688
'1,'Text 1,"'Fall 2024 release.",'4,'89.11132813
'1,'Text 2,"'Checkpoint due 8:00pm EST Wednesday October 9, 2024. See Submission and Grading / Checkpoint.",'5,'93.55468750
'1,'Text 3,"'Full project due 8:00pm EST Wednesday October 23, 2024.",'6,'89.64843750
'1,'Text 4,"'You may work alone or with a partner (partnership guidelines). If you work alone, you must work alone on both the checkpoint and the full project. If you work with a partner, you must work with the same partner on the checkpoint and the full project. You may not work alone on the checkpoint and then add a partner for the full project.",'7,'96.09375000
'1,'Section header 1,"'Introduction",'8,'90.91796875
'1,'Text 5,"'Euchre (pronounced ""YOO-kur"") is a card game popular in Michigan.",'9,'94.18945313
'1,'Text 6,"'The learning goals of this project include Abstract Data Types in C++, Derived Classes, Inheritance, and Polymorphism. You'll gain practice with C++-style Object Oriented Programming (OOP) with classes and virtual functions.",'10,'96.09375000
'1,'Text 7,"'When you're done, you'll have a program that simulates a game of Euchre, supporting a AI player and a Human player.",'11,'93.84765625
'1,'Text 8,"'$ /euchre.exe pack. in noshuffle 3 Ivan Human Judea Simple Kunle Simple Liskov Simple Hand 0 Ivan deals Jack of Diamonds turned up Judea passes Kunle passes Liskov passes Human player Ivan's hand: [0] Nine of Diamonds Human player Ivan's hand: [1] Ten of Diamonds Human player Ivan's hand: [2] Jack of Hearts Human player Ivan's hand: [3] Queen of Hearts Human player Ivan's hand: [4] Ace of Clubs Human player Ivan, please enter a suit, or ""pass"":",'12,'52.53906250
'1,'Footer 1,"'file:///home/runner/work/p3-euchre/p3-euchre/_site/index.htm",'13,'73.63281250
'1,'Page number 1,"'1/31",'14,'65.67382813
'2,'Header 4,"'9/28/24, 1:35 PM",'15,'84.03320313
'2,'Header 5,"'p3-euchre",'16,'69.58007813
'2,'Header 6,"'Diamonds Ivan orders up Diamonds",'17,'68.01757813
'2,'Title 2,"'Setup",'18,'46.48437500
'2,'Text 9,"'Set up your visual debugger and version control, then submit to the autograder.",'19,'94.43359375
'2,'Section header 2,"'Visual debugger",'20,'79.73632813
'2,'Text 10,"'During setup, name your project p3-euchre. Use this starter files link: https://eecs280staff.github.io/p3-euchre/starter-files.tar.gz",'21,'93.84765625
'2,'Text 11,"'VS Code",'22,'95.45898438
'2,'Text 12,"'Visual Studio",'23,'95.89843750
'2,'Text 13,"'Xcode",'24,'93.45703125
'2,'Text 14,"'If you created a main.cpp while following the setup tutorial, rename it to euchre.cpp . Otherwise, create a new file euchre.cpp . You should end up with a folder with starter files that looks like this. You may have already renamed files like Card.cpp.starten to Card.cpp",'25,'95.89843750
'2,'Text 15,"'$ ls",'26,'62.06054688
'2,'List 1,"",'27,'28.90625000
'2,'Text 16 - Part of List 1,"'Card.cpp.starter Card.hpp Card_public_tests.cpp Card_tests.cpp.starter Makefile Pack.hpp",'28,'87.30468750
'2,'Text 17 - Part of List 1,"'Pack_public_tests.cpp Pack_tests.cpp.starter Player.hpp Player_public_tests.cpp Player_tests.cpp.starter euchre.cpp",'29,'91.25976563
'2,'Text 18 - Part of List 1,"'euchre_testoo.out.correc euchre_test01.out.correct euchre_test50.in euchre_test50.out.correct pack.in unit_test_framework.hpp",'30,'94.97070313
'2,'Text 19,"'Here's a short description of each starter file.",'31,'76.70898438
'2,'Table 1,"",'32,'87.79296875
'2,'Footer 2,"'file:///home/runner/work/p3-euchre/p3-euchre/_site/index.html",'33,'79.58984375
'2,'Page number 2,"'2/31",'34,'81.10351563
'3,'Header 7,"'9/28/24, 1:35 PM",'35,'74.75585938
'3,'Header 8,"'p3-euchre",'36,'50.48828125
'3,'Table 2,"",'37,'96.58203125
'3,'Section header 3,"'Version control",'38,'77.34375000
'3,'Text 20,"'Set up version control using the Version control tutorial.",'39,'91.94335938
'3,'Text 21,"'After you're done, you should have a local repository with a ""clean"" status and your local repository should be connected to a remote GitHub repository.",'40,'94.38476563
'3,'List 2,"",'41,'89.45312500
'3,'Text 22 - Part of List 2,"'1 $ git status",'42,'97.11914063
'3,'Text 23 - Part of List 2,"'2 On branch main",'43,'96.77734375
'3,'Text 24 - Part of List 2,"'3 Your branch is up-to-date with 'origin/main'",'44,'97.80273438
'3,'Text 25 - Part of List 2,"'4",'45,'38.72070313
'3,'Text 26 - Part of List 2,"'5 nothing to commit, working tree clean",'46,'96.04492188
'3,'Text 27 - Part of List 2,"'6 $ git remote -V",'47,'87.10937500
'3,'Text 28 - Part of List 2,"'7 origin https://github.com/awdeorio/p3-euchre.git (fetch)",'48,'92.67578125
'3,'Text 29 - Part of List 2,"'8 origin https://githubcom/awdeorio/p3-euchre.git (push)",'49,'94.62890625
'3,'Text 30,"'You should have a .gitignore file (instructions).",'50,'81.68945313
'3,'List 3,"",'51,'84.27734375
'3,'Text 31 - Part of List 3,"'1 $ head gitignore",'52,'79.44335938
'3,'Text 32 - Part of List 3,"'2 # This is a sample gitignore file that's useful for C++ projects.",'53,'88.86718750
'3,'Text 33,"'3",'54,'55.46875000
'3,'Section header 4,"'Group registration",'55,'70.89843750
'3,'Text 34,"'Register your partnership (or working alone) on the Autograder. Then, submit the code you have.",'56,'88.62304688
'3,'Footer 3,"'file:///home/runner/work/p3-euchre/p3-euchre/_site/index.html",'57,'86.52343750
'3,'Page number 3,"'3/31",'58,'64.69726563
'4,'Header 9,"'9/28/24, 1:35 PM",'59,'82.32421875
'4,'Header 10,"'p3-euchre",'60,'67.91992188
'4,'Title 3,"'EECS 280 Euchre Rules",'61,'87.45117188
'4,'Text 35,"'There are many variants of Euchre. Our particular version is based on a variety commonly played in Michigan with a few changes to make it feasible as a coding project.",'62,'93.70117188
'4,'Text 36,"'Our step-by-step explanation of a game of ""EECS 280 Euchre"" can be found in a You Tube video and a PDF.",'63,'81.98242188
'4,'Figure 1,"",'64,'81.05468750
'4,'Text 37,"'Pro-tip: Skim this section the first time through. Refer back to it while you're coding.",'65,'92.48046875
'4,'Section header 5,"'Players",'66,'91.21093750
'4,'Text 38,"'There are four players numbered 0-3. If the players sat around the table, it would look like this:",'67,'89.45312500
'4,'Text 39,"'There are two teams: players 0 and 2 are partners, as are 1 and 3. Each player has left and right neighbors. For example, 1 is to the left of 0, and 3 is to the right of 0. That means 1 is 0's left neighbor, and 3 is 0's right neighbor.",'68,'93.89648438
'4,'Section header 6,"'The Cards",'69,'89.74609375
'4,'Text 40,"'Euchre uses a deck of 24 playing cards, each of which has two properties: a rank and a suit. The ranks are 9, 10, Jack, Queen, King, and Ace, and the suits are Spades, Hearts, Clubs, and Diamonds. Each card is unique - there are no duplicates. Throughout this document, we sometimes refer to ranks or suits using only the first letter of their name. Farther below, we describe how to determine the ordering of the cards.",'70,'96.19140625
'4,'Section header 7,"'Playing the Game",'71,'90.86914063
'4,'Text 41,"'At a high level, a game of Euchre involves several rounds, which are called hands. Each hand consists of the following phases.",'72,'92.72460938
'4,'Section header 8,"'Each hand:",'73,'37.47558594
'4,'Section header 9,"'1. Setup table",'74,'35.52246094
'4,'Text 42,"'i. Shuffle ii. Deal 2. Making Trump i. Round One ii. Round Two",'75,'25.87890625
'4,'Footer 4,"'file:///home/runner/work/p3-euchre/p3-euchre/_site/index.htm",'76,'82.42187500
'4,'Page number 4,"'4/31",'77,'73.92578125
'5,'Header 11,"'9/28/24, 1:35 PM",'78,'90.28320313
'5,'Header 12,"'p3-euchre",'79,'68.26171875
'5,'List 4,"",'80,'51.17187500
'5,'Text 43 - Part of List 4,"'3. Trick Taking",'81,'51.85546875
'5,'Text 44 - Part of List 4,"'4. Scoring",'82,'76.70898438
'5,'Text 45,"'We describe each in more detail below.",'83,'70.50781250
'5,'Title 4,"'Setup table",'84,'69.33593750
'5,'Section header 10,"'Shuffle",'85,'93.65234375
'5,'Text 46,"'The dealer shuffles the deck at the beginning of each hand. The algorithm you will implement for shuffling is a variant of a riffle shuffle called an ""in shuffle"" (https://en.wikipedia.org/wiki/In_shuffle). Cut the deck exactly in half and then interleave the two halves, starting with the second half. Thus, the card originally at position 12 goes to position 0, the one originally at position 0 goes to position 1, the one originally at position 13 goes to position 2, and so on. Do this in-shuffle process 7 times.",'86,'94.82421875
'5,'Text 47,"'You will also implement an option to run the game with shuffling disabled - when this option is chosen, just reset the pack any time shuffling would be called for. This may make for easier testing and debugging.",'87,'91.94335938
'5,'Section header 11,"'Deal",'88,'94.09179688
'5,'Text 48,"'In each hand, one player is designated as the dealer (if humans were playing the game, the one who passes out the cards). In our game, player 0 deals during the first hand. Each subsequent hand, the role of dealer moves one player to the left.",'89,'95.16601563
'5,'Text 49,"'Each player receives five cards, dealt in alternating batches of 3 and 2. That is, deal 3-2-3-2 cards then 2-3-2-3 cards, for a total of 5 cards each. The player to the left of the dealer receives the first batch, and dealing continues to the left until 8 batches have been dealt.",'90,'95.41015625
'5,'Text 50,"'Four cards remain in the deck after the deal. The next card in the pack is called the upcard (it is turned face up, while the other cards are all face down). It plays a special role in the next phase. The three remaining cards are not used for the current hand.",'91,'94.23828125
'5,'Section header 12,"'Making Trump",'92,'91.06445313
'5,'Text 51,"'During this phase, the trump suit is determined by whichever player chooses to order up.",'93,'95.31250000
'5,'Section header 13,"'Round One",'94,'89.40429688
'5,'Text 52,"'The suit of the upcard is used to propose a trump suit whose cards become more valuable during the upcoming hand. Players are given the opportunity to order up (i.e. select the suit of the upcard to be the trump suit) or pass, starting with the player to the dealer's left (also known as the eldest",'95,'94.87304688
'5,'Footer 5,"'file:///home/runner/work/p3-euchre/p3-euchre/_site/index.htm",'96,'87.45117188
'5,'Page number 5,"'5/31",'97,'61.96289063
'6,'Header 13,"'9/28/24, 1:35 PM",'98,'86.03515625
'6,'Header 14,"'p3-euchre",'99,'65.47851563
'6,'Text 53,"'hand) and progressing once around the circle to the left. If any player orders up, the upcard's suit becomes trump and the dealer is given the option to replace one of their cards with the upcard.",'100,'93.06640625
'6,'Section header 14,"'Round Two",'101,'86.08398438
'6,'Text 54,"'If all players pass during the first round, there is a second round of making, again beginning with the eldest hand. The upcard's suit is rejected and cannot be ordered up. Instead, the players may order up any suit other than the upcard's suit. The dealer does not have the opportunity to pick up the upcard during round two.",'102,'96.58203125
'6,'Text 55,"'If making reaches the dealer during the second round, a variant called screw the dealer is invoked: the dealer must order up a suit other than the rejected suit.",'103,'92.87109375
'6,'Text 56,"'(Note for pro Euchre players: for simplicity, we have omitted ""going alone"" in this version.)",'104,'91.74804688
'6,'Section header 15,"'Trick Taking",'105,'93.11523438
'6,'Text 57,"'Once the trump has been determined, five tricks are played. For each trick, players take turns laying down cards, and whoever played the highest card takes the trick.",'106,'95.55664063
'6,'Text 58,"'During each trick, the player who plays first is called the leader. For the first trick, the eldest hand leads.",'107,'92.43164063
'6,'Text 59,"'At the beginning of each trick, the leader leads a card, which affects which cards other players are allowed to play, as well as the value of each card played (see below). Each other player must follow suit (play a card with the same suit as the led card) if they are able, and otherwise may play any card (it is removed from their hand). Play moves to the left around the table, with each player playing one card.",'108,'96.28906250
'6,'Text 60,"'A trick is won by the player who played the highest valued card (see below to determine comparative values). The winner of the trick leads the next one.",'109,'92.52929688
'6,'Section header 16,"'Scoring",'110,'88.62304688
'6,'Text 61,"'The team that takes the majority of tricks receives points for that hand.",'111,'94.28710938
'6,'List 5,"",'112,'87.84179688
'6,'Text 62 - Part of List 5,"'If the team that ordered up the trump suit takes 3 or 4 tricks, they get 1 point.",'113,'97.02148438
'6,'Text 63 - Part of List 5,"'If the team that ordered up the trump suit takes all 5 tricks, they get 2 points. This is called a march.",'114,'96.77734375
'6,'Text 64 - Part of List 5,"'If the team that did not order up takes 3, 4, or 5 tricks, they receive 2 points. This is called euchred.",'115,'96.04492188
'6,'Footer 6,"'file:///home/runner/work/p3-euchre/p3-euchre/_site/index.htm",'116,'88.72070313
'6,'Page number 6,"'6/31",'117,'69.82421875
'7,'Header 15,"'9/28/24, 1:35 PM",'118,'80.56640625
'7,'Header 16,"'p3-euchre",'119,'60.10742188
'7,'Text 65,"'Traditionally, the first side to reach 10 points wins the game. In this project, the number of points needed to win is specified when the program is run.",'120,'95.41015625
'7,'Section header 17,"'Value of cards",'121,'76.56250000
'7,'Text 66,"'In order to determine which of two cards is better, you must pay attention to the context in which they are being compared. There are three separate contexts, which depend on whether or not a trump or led suit is present.",'122,'95.36132813
'7,'Text 67,"'In the simplest case, cards are ordered by rank A>K>Q>J>10>9),with ties broken by suit (D >C>H>S).",'123,'89.59960938
'7,'Text 68,"'If a trump suit is present, all trump cards are more valuable than non-trump cards. That means a 9 of the trump suit will beat an Ace of a non-trump suit. Additionally, two special cards called bowers take on different values than normal.",'124,'93.45703125
'7,'List 6,"",'125,'94.67773438
'7,'Text 69 - Part of List 6,"'Right Bower: The Jack of the trump suit. This is the most valuable card in the game.",'126,'97.41210938
'7,'Text 70 - Part of List 6,"'Left Bower: The Jack of the ""same color"" suit as trump is considered to be a trump (regardless of the suit printed on the card) and is the second most valuable card.",'127,'97.16796875
'7,'Text 71,"'The suit of the left bower is called next, while the two suits of the opposite color are called cross suits.",'128,'95.21484375
'7,'Text 72,"'If a led suit is present as well as a trump suit, the ordering is the same except that all cards of the led suit are considered more valuable than all non-trump-suit, non-led-suit cards. Note that it is possible for the trump suit and led suit to be the same.",'129,'96.58203125
'7,'Figure 2,"",'130,'55.27343750
'7,'Text 73,"'! Pitfall: The left bower is always considered the trump suit. For example, if Diamonds is trump, the Jack of Hearts is also considered a Diamond, not a Heart.",'131,'93.99414063
'7,'Text 74,"'The above shows card orderings in the possible contexts. Cards in higher rows are greater than those in lower rows. Within rows, cards farther to the left are greater. Note the right bower (blue outline) and left bower (red outline).",'132,'94.38476563
'7,'Section header 18,"'Euchre Glossary",'133,'73.87695313
'7,'Text 75,"'Trump: A suit whose cards are elevated above their normal rank during play.",'134,'92.18750000
'7,'Text 76,"'Right Bower: The Jack card of the Trump suit, which is considered the highest-valued card in Euchre.",'135,'90.77148438
'7,'Footer 7,"'file:///home/runner/work/p3-euchre/p3-euchre/_site/index.html",'136,'85.00976563
'7,'Page number 7,"'7/31",'137,'75.78125000
'8,'Header 17,"'9/28/24, 1:35 PM",'138,'89.11132813
'8,'Header 18,"'p3-euchre",'139,'72.31445313
'8,'Text 77,"'Left Bower: The Jack from the other suit of the same color as the Trump suit, considered the second highest-valued card in Euchre. The Left Bower is also considered a Trump card.",'140,'98.09570313
'8,'Text 78,"'Face or Ace: The Jack, Queen, and King cards are generally pictured with people on them and are called ""face"" cards. These and the ace cards are more powerful than the 9 or 10 and factor into the simple player's strategy.",'141,'97.36328125
'8,'Text 79,"'Next Suit: The suit of the same color as trump.",'142,'97.02148438
'8,'Text 80,"'Cross Suits: The two suits of the opposite color as trump.",'143,'97.21679688
'8,'Text 81,"'Making: The process in which a trump card is chosen, consists of two rounds.",'144,'97.75390625
'8,'Text 82,"'Eldest: Player to the left of the dealer.",'145,'96.92382813
'8,'Text 83,"'Upcard: The up-facing card in front of the dealer that proposes the trump suit.",'146,'97.85156250
'8,'Text 84,"'Order Up: Accepts the Upcard suit.",'147,'96.97265625
'8,'Text 85,"'Pass: Player rejects the suit and passes on the decision to the next player.",'148,'97.65625000
'8,'Text 86,"'Screw the Dealer: When making* reaches the dealer on round two, the dealer must *order up a suit other than the rejected one.",'149,'97.41210938
'8,'Text 87,"'Lead: The first card played by the eldest* hand, regardless of who *is the maker.",'150,'97.94921875
'8,'Text 88,"'Leader: Person playing the lead* card in a trick, allowed to lead* *any card.",'151,'97.70507813
'8,'Text 89,"'March: When the side that made trump* wins all 5 tricks.",'152,'97.85156250
'8,'Text 90,"'Euchred: When the side that didn't make trump* wins 3, 4, or 5 *tricks.",'153,'97.46093750
'8,'Section header 19,"'Card",'154,'88.62304688
'8,'Text 91,"'Write an abstract data type (ADT) for a playing card. Refer back to the Value of cards section while you're working on the card ADT.",'155,'96.04492188
'8,'Text 92,"'Before getting started, take a look at the Operator Overloading Tutorial. That will help you understand functions like:",'156,'94.18945313
'8,'Text 93,"'bool operator< const Card &lhs, const Card &rhs) ;",'157,'77.44140625
'8,'Text 94,"'Next, see the short Enumerated Type Tutorial. It explains code like this from Card.hpp",'158,'91.94335938
'8,'List 7,"",'159,'44.84863281
'8,'Text 95 - Part of List 7,"'1 enum Suit {",'160,'90.33203125
'8,'Text 96 - Part of List 7,"'2 SPADES",'161,'50.29296875
'8,'Figure 3,"",'162,'29.95605469
'8,'Figure 4,"",'163,'34.25292969
'8,'Footer 8,"'file:///home/runner/work/p3-euchre/p3-euchre/_site/index.htm",'164,'84.81445313
'8,'Page number 8,"'8/31",'165,'70.16601563
'9,'Header 19,"'9/28/24, 1:35 PM",'166,'92.77343750
'9,'Page number 9,"'p3-euchre",'167,'53.02734375
'9,'Header 20,"'3 HEARTS = 1, 4 CLUBS =2, 5 DIAMONDS = 3, 6 };",'168,'54.78515625
'9,'Text 97,"'Write implementations in Card.cpp for the functions declared in Card.hpp .",'169,'64.69726563
'9,'Text 98,"'Run the public Card tests.",'170,'51.85546875
'9,'List 8,"",'171,'86.81640625
'9,'Text 99 - Part of List 8,"'1 $ make Card_public_tests.exe",'172,'95.41015625
'9,'Text 100 - Part of List 8,"'2 $ ./Card_public_tests.exe",'173,'93.94531250
'9,'Text 101,"'Write tests for Card in Card_tests.cpp using the Unit Test Framework. You'll submit these tests to the autograder. See the Unit Test Grading section.",'174,'92.77343750
'9,'List 9,"",'175,'85.49804688
'9,'Text 102 - Part of List 9,"'1 $ make Card_tests.exe",'176,'94.23828125
'9,'Text 103 - Part of List 9,"'2 $ ./Card_tests.exe",'177,'93.31054688
'9,'Text 104,"'Submit Card.cpp and Card_tests.cpp to the autograder.",'178,'89.50195313
'9,'Figure 5,"",'179,'61.13281250
'9,'List 10,"",'180,'47.55859375
'9,'Text 105 - Part of List 10,"'Pro-tip: Compare the underlying numeric representation of an enum",'181,'89.35546875
'9,'Text 106 - Part of List 10,"'1 Rank r = JACK;",'182,'92.87109375
'9,'Text 107 - Part of List 10,"'2 r == JACK; // true",'183,'94.04296875
'9,'Text 108 - Part of List 10,"'3",'184,'65.47851563
'9,'Text 109 - Part of List 10,"'4 Suit S1 = SPADES;",'185,'87.93945313
'9,'Text 110 - Part of List 10,"'5 Suit s2 = DIAMONDS;",'186,'91.79687500
'9,'Text 111 - Part of List 10,"'6 S1 V s2; // true",'187,'89.06250000
'9,'Section header 20,"'Setup",'188,'78.41796875
'9,'Text 112,"'Rename these files (VS Code (macOS), VS Code (Windows), Visual Studio, Xcode, CLI):",'189,'84.66796875
'9,'List 11,"",'190,'81.15234375
'9,'Text 113 - Part of List 11,"'Card.cpp.starter -> Card.cpp",'191,'82.66601563
'9,'Text 114 - Part of List 11,"'Card_tests.cpp.starter -> Card_tests.cpp",'192,'63.72070313
'9,'Text 115,"'Edit Card.cpp , adding a function stub for each of the Card member functions in Card.hpp .",'193,'89.11132813
'9,'Text 116,"'Card.cpp",'194,'49.90234375
'9,'List 12,"",'195,'42.62695313
'9,'Text 117 - Part of List 12,"'1 Card: : Card( {",'196,'57.47070313
'9,'Text 118 - Part of List 12,"'2 assert (false)",'197,'65.33203125
'9,'Text 119 - Part of List 12,"'3 }",'198,'74.70703125
'9,'Footer 9,"'file:///home/runner/work/p3-euchre/p3-euchre/_site/index.html",'199,'82.61718750
'9,'Page number 10,"'9/31",'200,'60.93750000
'10,'Header 21,"'9/28/24, 1:35 PM",'201,'70.01953125
'10,'Header 22,"'p3-euchre",'202,'55.90820313
'10,'Text 120,"'Edit Card.cpp , , adding function stubs for each of the non-member non-operator functions in Card.hpp Here are a few examples.",'203,'80.02929688
'10,'Section header 21,"'Card.cpp",'204,'53.71093750
'10,'List 13,"",'205,'54.78515625
'10,'Text 121 - Part of List 13,"'1 Suit Suit_next(Suit suit) {",'206,'66.11328125
'10,'Text 122 - Part of List 13,"'2",'207,'99.93977356
